YBR120C	32	32	0
YBR121C	1155	1155	0
YBR121C-A	0	0	0
YBR122C	140	140	0
YBR123C	127	139	0
YBR124W	0	0	12
YBR125C	63	63	0
YBR126C	129	129	0
YBR126W-A	46	46	0
YBR126W-B	0	0	0
YBR127C	1305	1305	0
YBR128C	10	5	5
YBR129C	53	53	0
YBR130C	142	138	4
YBR131W	101	102	1
YBR131C-A	0	0	2
YBR132C	59	59	0
YBR133C	254	255	0
YBR134W	5	1	5
YBR135W	49	49	0
YBR136W	202	202	0
YBR137W	58	58	0
YBR138C	56	56	0
YBR139W	64	64	0
YBR140C	712	712	0
YBR141C	47	49	2
YBR141W-A	0	0	4
YBR142W	416	412	4
YBR143C	384	384	0
YBR144C	0	0	0
YBR145W	19	9	10
YBR146W	151	151	0
YBR147W	8	8	0
YBR148W	4	4	0
YBR149W	113	113	0
YBR150C	197	186	14
YBR151W	93	93	0
YBR152W	47	47	0
YBR153W	56	56	0
YBR154C	450	450	0
YBR155W	146	146	0
YBR156C	169	166	3
YBR157C	55	53	2
YBR158W	1122	1122	0
YBR159W	119	119	0
YBR160W	68	68	0
YBR161W	78	72	6
YBR162C	525	522	3
YBR162W-A	52	52	0
YBR163W	74	74	0
YBR164C	30	30	0
YBR165W	62	62	0
YBR166C	60	60	0
YBR167C	15	15	0
YBR168W	30	30	0
YBR169C	78	77	1
YBR170C	181	181	0
YBR171W	33	33	0
YBR172C	483	484	0
YBR173C	113	113	0
YBR174C	0	0	8
YBR175W	31	37	2
YBR176W	23	23	0
YBR177C	67	67	0
YBR178W	0	0	0
YBR179C	192	192	0
YBR180W	3	1	2
YBR181C	304	304	0
YBR182C	2	2	0
YBR182C-A	0	0	0
YBR183W	21	21	0
YBR184W	12	12	0
YBR185C	27	27	0
YBR186W	5	5	0
YBR187W	158	149	9
YBR188C	32	32	0
YBR189W	1737	1741	0
YBR190W	1	1	0
YBR191W	1020	1022	0
YBR191W-A	3	3	0
YBR192W	145	134	11
YBR193C	29	29	0
YBR194W	17	17	0
YBR195C	42	42	0
YBR196C	1198	1198	0
YBR196C-A	0	0	0
YBR196C-B	0	0	0
YBR197C	54	43	11
YBR198C	407	397	10
YBR199W	272	272	1
YBR200W	141	141	0
YBR200W-A	0	0	0
YBR201W	24	24	0
YBR201C-A	7	7	0
YBR202W	376	376	0
YBR203W	20	20	0
YBR204C	26	26	0
YBR205W	79	79	0
YBR206W	2	2	0
YBR207W	126	129	0
YBR208C	200	188	12
YBR209W	0	0	0
tC(GCA)B	0	0	0
tE(UUC)B	1	1	0
YBR210W	17	17	0
YBR211C	77	77	0
YBR212W	175	175	0
YBR213W	40	40	0
YBR214W	25	25	0
YBR215W	178	175	4
YBR216C	76	76	0
YBR217W	8	8	0
YBR218C	411	411	5
YBR219C	0	0	0
YBR220C	56	56	0
YBR221C	315	315	0
YBR221W-A	0	0	0
YBR222C	134	134	0
YBR223C	36	42	0
YBR223W-A	0	0	3
YBR224W	4	4	3
YBR225W	194	204	0
YBR226C	11	0	21
YBR227C	107	107	0
YBR228W	15	14	1
YBR229C	213	211	2
YBR230C	39	39	0
YBR230W-A	11	5	6
LSR1	17169	17104	77
YBR231C	122	121	1
YBR232C	0	0	10
YBR233W	22	32	0
YBR233W-A	18	18	0
YBR234C	159	159	0
YBR235W	89	89	0
YBR236C	63	63	0
YBR237W	86	86	3
YBR238C	341	341	0
YBR239C	113	105	8
YBR240C	25	25	0
YBR241C	22	22	0
YBR242W	70	67	3
YBR243C	67	66	1
YBR244W	122	122	0
YBR245C	472	466	6
YBR246W	64	64	0
YBR247C	295	295	0
YBR248C	166	144	22
YBR249C	395	395	0
YBR250W	18	18	0
YBR251W	97	97	0
YBR252W	67	60	12
YBR253W	5	5	0
YBR254C	49	49	0
YBR255W	135	135	0
YBR255C-A	13	13	0
YBR256C	148	148	0
YBR257W	27	36	0
YBR258C	7	6	10
YBR259W	68	68	0
YBR260C	166	166	0
YBR261C	85	85	0
YBR262C	12	12	0
YBR263W	671	664	7
YBR264C	33	33	0
YBR265W	90	90	0
YBR267W	426	505	0
YBR266C	0	0	79
YBR268W	16	16	0
YBR269C	39	39	0
YBR270C	23	23	0
YBR271W	98	98	0
YBR272C	63	63	0
YBR273C	45	45	0
YBR274W	31	31	0
